label,level_1,level_2,level_3,level_4
Degrees,https://odyssey.stage.edx.org/bachelors,https://odyssey.stage.edx.org/bachelors/business,https://odyssey.stage.edx.org/bachelors/business/morehouse-bachelor-of-arts-in-applied-management-studies,
Degrees,https://odyssey.stage.edx.org/bachelors,https://odyssey.stage.edx.org/bachelors/microbachelors,https://odyssey.stage.edx.org/bachelors/microbachelors/doanex-business-and-professional-communication-for-success,
Degrees,https://odyssey.stage.edx.org/bachelors,https://odyssey.stage.edx.org/bachelors/microbachelors,https://odyssey.stage.edx.org/bachelors/microbachelors/harvardx-introduction-to-neuroscience,
Degrees,https://odyssey.stage.edx.org/bachelors,https://odyssey.stage.edx.org/bachelors/microbachelors,https://odyssey.stage.edx.org/bachelors/microbachelors/harvardx-university-chemistry,
Degrees,https://odyssey.stage.edx.org/bachelors,https://odyssey.stage.edx.org/bachelors/microbachelors,https://odyssey.stage.edx.org/bachelors/microbachelors/ibm-full-stack-application-development,
Degrees,https://odyssey.stage.edx.org/bachelors,https://odyssey.stage.edx.org/bachelors/microbachelors,https://odyssey.stage.edx.org/bachelors/microbachelors/lse-mathematics-and-statistics-fundamentals,
Degrees,https://odyssey.stage.edx.org/bachelors,https://odyssey.stage.edx.org/bachelors/microbachelors,https://odyssey.stage.edx.org/bachelors/microbachelors/lse-statistics-fundamentals,
Degrees,https://odyssey.stage.edx.org/bachelors,https://odyssey.stage.edx.org/bachelors/microbachelors,https://odyssey.stage.edx.org/bachelors/microbachelors/mgh-institute-chemistry-for-the-health-professions,
Degrees,https://odyssey.stage.edx.org/bachelors,https://odyssey.stage.edx.org/bachelors/microbachelors,https://odyssey.stage.edx.org/bachelors/microbachelors/mgh-institute-statistics-for-the-health-professions,
Degrees,https://odyssey.stage.edx.org/bachelors,https://odyssey.stage.edx.org/bachelors/microbachelors,https://odyssey.stage.edx.org/bachelors/microbachelors/tesu-information-literacy,
